study,instance,random_selected,time_selected,E,D_if_originally_reported
synthetic-v26,stationary:201,ridge_all,extra_trees,-0.019886980610430986,
synthetic-v26,stationary:202,ridge_all,extra_trees,-0.03582307940906454,
synthetic-v26,stationary:203,ridge_interaction,ridge_all,0.010371450883928482,
synthetic-v26,stationary:204,ridge_recent,ridge_all,0.001633578254918118,
synthetic-v26,stationary:205,ridge_all,ridge_all,0.0,
synthetic-v26,decrease:201,ridge_interaction,ridge_interaction,0.0,
synthetic-v26,decrease:202,extra_trees,mean,0.04305476413349467,
synthetic-v26,decrease:203,ridge_interaction,mean,0.11079272102405247,
synthetic-v26,decrease:204,extra_trees,ridge_recent,0.02064394037176454,
synthetic-v26,decrease:205,ridge_interaction,mean,0.08998972094817641,
synthetic-v26,increase:201,extra_trees,ridge_recent,0.02256851300040334,
synthetic-v26,increase:202,extra_trees,ridge_interaction,-0.0009826177945288087,
synthetic-v26,increase:203,extra_trees,ridge_interaction,0.02717480860436424,
synthetic-v26,increase:204,ridge_interaction,ridge_recent,0.03351250687423668,
synthetic-v26,increase:205,ridge_interaction,ridge_interaction,0.0,
synthetic-v26,return:201,ridge_interaction,ridge_interaction,0.0,
synthetic-v26,return:202,extra_trees,mean,-0.0666779446378204,
synthetic-v26,return:203,ridge_interaction,mean,0.468736739559029,
synthetic-v26,return:204,extra_trees,ridge_recent,-0.1286336060743861,
synthetic-v26,return:205,ridge_interaction,mean,0.4728219312821041,
capital-v28,0,extra_trees,extra_trees,0.0,-0.05714285714285716
capital-v28,1,ridge_calendar,mean,0.1303700423187268,0.6285714285714286
capital-v28,2,hist_boost,hist_boost,0.0,0.17142857142857143
capital-v28,3,extra_trees,hist_boost,-0.00943003250807775,0.17142857142857143
capital-v28,4,hist_boost,extra_trees,0.007373821475012569,-0.17142857142857149
multiwindow-v36,109,extra_trees,ridge_1,0.46931840182315937,0.45714285714285713
multiwindow-v36,95,extra_trees,extra_trees,0.0,0.0
multiwindow-v36,21,ridge_1,ridge_100,-0.0074689281852789126,-0.17142857142857137
multiwindow-v36,59,extra_trees,extra_trees,0.0,-0.05714285714285716
multiwindow-v36,117,ridge_100,ridge_100,0.0,0.0
