batch,world,deployment,execution_mode,terminal,valid_lock,semantic_plan_correct_P,end_to_end_success_J_D2
MAIN,main_001,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_001,deployment_A,N1_CALCULATOR,LOCKED,1,0,0
MAIN,main_001,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_001,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_001,deployment_B,N1_CALCULATOR,LOCKED,1,0,0
MAIN,main_001,deployment_B,N2_DECLARATIVE_EXECUTION,UNKNOWN_DELIVERY,0,0,0
MAIN,main_002,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_002,deployment_A,N1_CALCULATOR,LOCKED,1,0,0
MAIN,main_002,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_002,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_002,deployment_B,N1_CALCULATOR,INVALID,0,0,0
MAIN,main_002,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
MAIN,main_003,deployment_A,N0_DIRECT_OUTPUT,UNKNOWN_DELIVERY,0,0,0
MAIN,main_003,deployment_A,N1_CALCULATOR,RESOURCE_FAILED,0,0,0
MAIN,main_003,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_003,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_003,deployment_B,N1_CALCULATOR,INVALID,0,0,0
MAIN,main_003,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_004,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_004,deployment_A,N1_CALCULATOR,INVALID,0,0,0
MAIN,main_004,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_004,deployment_B,N0_DIRECT_OUTPUT,UNKNOWN_DELIVERY,0,0,0
MAIN,main_004,deployment_B,N1_CALCULATOR,RESOURCE_FAILED,0,0,0
MAIN,main_004,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_005,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_005,deployment_A,N1_CALCULATOR,LOCKED,1,1,1
MAIN,main_005,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_005,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_005,deployment_B,N1_CALCULATOR,LOCKED,1,0,0
MAIN,main_005,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_006,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_006,deployment_A,N1_CALCULATOR,LOCKED,1,0,0
MAIN,main_006,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_006,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_006,deployment_B,N1_CALCULATOR,LOCKED,1,0,0
MAIN,main_006,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_007,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_007,deployment_A,N1_CALCULATOR,INVALID,0,0,0
MAIN,main_007,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_007,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_007,deployment_B,N1_CALCULATOR,LOCKED,1,1,1
MAIN,main_007,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
MAIN,main_008,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_008,deployment_A,N1_CALCULATOR,LOCKED,1,0,0
MAIN,main_008,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_008,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_008,deployment_B,N1_CALCULATOR,UNKNOWN_DELIVERY,0,0,0
MAIN,main_008,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_009,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_009,deployment_A,N1_CALCULATOR,UNKNOWN_DELIVERY,0,0,0
MAIN,main_009,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_009,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_009,deployment_B,N1_CALCULATOR,LOCKED,1,1,1
MAIN,main_009,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_010,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_010,deployment_A,N1_CALCULATOR,LOCKED,1,1,1
MAIN,main_010,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_010,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_010,deployment_B,N1_CALCULATOR,LOCKED,1,1,1
MAIN,main_010,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_011,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_011,deployment_A,N1_CALCULATOR,UNKNOWN_DELIVERY,0,0,0
MAIN,main_011,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_011,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_011,deployment_B,N1_CALCULATOR,LOCKED,1,1,1
MAIN,main_011,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
MAIN,main_012,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
MAIN,main_012,deployment_A,N1_CALCULATOR,RESOURCE_FAILED,0,0,0
MAIN,main_012,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_012,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
MAIN,main_012,deployment_B,N1_CALCULATOR,LOCKED,1,1,1
MAIN,main_012,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
MAIN,main_013,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
