batch,world,deployment,execution_mode,terminal,valid_lock,semantic_plan_correct_P,end_to_end_success_J_D2
REPLICATION,replication_001,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
REPLICATION,replication_001,deployment_A,N1_CALCULATOR,UNKNOWN_DELIVERY,0,0,0
REPLICATION,replication_001,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
REPLICATION,replication_001,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
REPLICATION,replication_001,deployment_B,N1_CALCULATOR,INVALID,0,0,0
REPLICATION,replication_001,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
REPLICATION,replication_002,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,1,0
REPLICATION,replication_002,deployment_A,N1_CALCULATOR,LOCKED,1,0,0
REPLICATION,replication_002,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
REPLICATION,replication_002,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
REPLICATION,replication_002,deployment_B,N1_CALCULATOR,LOCKED,1,0,0
REPLICATION,replication_002,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
REPLICATION,replication_003,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
REPLICATION,replication_003,deployment_A,N1_CALCULATOR,LOCKED,1,1,1
REPLICATION,replication_003,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
REPLICATION,replication_003,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
REPLICATION,replication_003,deployment_B,N1_CALCULATOR,LOCKED,1,1,1
REPLICATION,replication_003,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
REPLICATION,replication_004,deployment_A,N0_DIRECT_OUTPUT,UNKNOWN_DELIVERY,0,0,0
REPLICATION,replication_004,deployment_A,N1_CALCULATOR,LOCKED,1,1,1
REPLICATION,replication_004,deployment_A,N2_DECLARATIVE_EXECUTION,UNKNOWN_DELIVERY,0,0,0
REPLICATION,replication_004,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
REPLICATION,replication_004,deployment_B,N1_CALCULATOR,LOCKED,1,1,1
REPLICATION,replication_004,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
REPLICATION,replication_005,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,1,0
REPLICATION,replication_005,deployment_A,N1_CALCULATOR,UNKNOWN_DELIVERY,0,0,0
REPLICATION,replication_005,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
REPLICATION,replication_005,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,0,0
REPLICATION,replication_005,deployment_B,N1_CALCULATOR,INVALID,0,0,0
REPLICATION,replication_005,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
REPLICATION,replication_006,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
REPLICATION,replication_006,deployment_A,N1_CALCULATOR,INVALID,0,0,0
REPLICATION,replication_006,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
REPLICATION,replication_006,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
REPLICATION,replication_006,deployment_B,N1_CALCULATOR,LOCKED,1,1,1
REPLICATION,replication_006,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
REPLICATION,replication_007,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
REPLICATION,replication_007,deployment_A,N1_CALCULATOR,LOCKED,1,0,0
REPLICATION,replication_007,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
REPLICATION,replication_007,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,0,0
REPLICATION,replication_007,deployment_B,N1_CALCULATOR,INVALID,0,0,0
REPLICATION,replication_007,deployment_B,N2_DECLARATIVE_EXECUTION,UNKNOWN_DELIVERY,0,0,0
REPLICATION,replication_008,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,1,0
REPLICATION,replication_008,deployment_A,N1_CALCULATOR,RESOURCE_FAILED,0,0,0
REPLICATION,replication_008,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
REPLICATION,replication_008,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,0,0
REPLICATION,replication_008,deployment_B,N1_CALCULATOR,RESOURCE_FAILED,0,0,0
REPLICATION,replication_008,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
REPLICATION,replication_009,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
REPLICATION,replication_009,deployment_A,N1_CALCULATOR,LOCKED,1,0,0
REPLICATION,replication_009,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
REPLICATION,replication_009,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,0,0
REPLICATION,replication_009,deployment_B,N1_CALCULATOR,RESOURCE_FAILED,0,0,0
REPLICATION,replication_009,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
REPLICATION,replication_010,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
REPLICATION,replication_010,deployment_A,N1_CALCULATOR,INVALID,0,0,0
REPLICATION,replication_010,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
REPLICATION,replication_010,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,0,0
REPLICATION,replication_010,deployment_B,N1_CALCULATOR,INVALID,0,0,0
REPLICATION,replication_010,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
REPLICATION,replication_011,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,1,0
REPLICATION,replication_011,deployment_A,N1_CALCULATOR,INVALID,0,0,0
REPLICATION,replication_011,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
REPLICATION,replication_011,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,0,0
REPLICATION,replication_011,deployment_B,N1_CALCULATOR,INVALID,0,0,0
REPLICATION,replication_011,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
REPLICATION,replication_012,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,0,0
REPLICATION,replication_012,deployment_A,N1_CALCULATOR,RESOURCE_FAILED,0,0,0
REPLICATION,replication_012,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
REPLICATION,replication_012,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
REPLICATION,replication_012,deployment_B,N1_CALCULATOR,LOCKED,1,0,0
REPLICATION,replication_012,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,0,0
REPLICATION,replication_013,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,1,0
REPLICATION,replication_013,deployment_A,N1_CALCULATOR,INVALID,0,0,0
REPLICATION,replication_013,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
REPLICATION,replication_013,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
REPLICATION,replication_013,deployment_B,N1_CALCULATOR,LOCKED,1,0,0
REPLICATION,replication_013,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
REPLICATION,replication_014,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,1,0
REPLICATION,replication_014,deployment_A,N1_CALCULATOR,LOCKED,1,1,1
REPLICATION,replication_014,deployment_A,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
REPLICATION,replication_014,deployment_B,N0_DIRECT_OUTPUT,LOCKED,1,1,0
REPLICATION,replication_014,deployment_B,N1_CALCULATOR,LOCKED,1,1,1
REPLICATION,replication_014,deployment_B,N2_DECLARATIVE_EXECUTION,LOCKED,1,1,1
REPLICATION,replication_015,deployment_A,N0_DIRECT_OUTPUT,LOCKED,1,1,0
